,L1_ITO,L2_ZnO,L3_CuGeSeSnS,L4_Au,Transmission,Reflection
688.0,0.019619389886774745,0.0036265483980186274,0.8805189200496952,0.016133322610676383,0.0014761579687517373,0.0786256610860833
690.0,0.019300180441816826,0.00345408365861368,0.873806044327658,0.016435949936412775,0.0014947879488496074,0.08550895368664924
692.0,0.01900236534672343,0.0032805482629421415,0.8670529490563205,0.016742904766352193,0.001524335627461959,0.09239689694019976
694.0,0.018758140128590367,0.0031069180427649177,0.8604024990658221,0.017038530358391972,0.0015647262688406466,0.09912918613558995
696.0,0.018524496058203766,0.0029344367782530834,0.8539707000069974,0.017329515841227477,0.0016152785766033323,0.10562557273871502
698.0,0.018359631451858177,0.0027656996038487,0.8479397659844821,0.01760620121872963,0.0016746431156124952,0.11165405862546895
700.0,0.018242834061646212,0.002601435130209233,0.8423194572724495,0.017883933506021892,0.0017417010402485528,0.11721063898942459
702.0,0.018182259262377917,0.0024431392912056477,0.8372455788296526,0.01816410819284214,0.0018155836006994441,0.12214933082322232
704.0,0.018182303118797715,0.0022921738626042964,0.8328265779159119,0.018446054959770277,0.0018952744935708254,0.12635761564934503
706.0,0.01824542811721777,0.002149161627865357,0.8291686926226657,0.018729592873695074,0.0019804741737578235,0.12972665058479835
708.0,0.018374942949105737,0.0020142503365651087,0.8262731011893736,0.01902864381775984,0.002070782009232275,0.13223827969796353
710.0,0.01857198625906846,0.0018889871200594174,0.8241602729025603,0.019365415112645456,0.002164158864959159,0.13384917974070717
712.0,0.018858046498740896,0.0017733017310420597,0.8228831070726411,0.019724376144885456,0.00226063500236523,0.13450053355032526
714.0,0.019192656043318157,0.0016669766879249294,0.8225378940236415,0.020101388852267903,0.0023608491917596897,0.13414023520108778
716.0,0.019614491372275937,0.001570961405029161,0.8231345832136449,0.020486042173149862,0.002463050910168768,0.1327308709257314
718.0,0.020101739772224826,0.0014848538008233887,0.8246458277303543,0.020886932135162368,0.002567162424244207,0.13031348413719085
